category,sub-category-1,sub-category-2,slogan
advertising-slogans,hotel-slogans,,"Discover a hotel that defines a new dimension of luxury.
Your success is our highest calling.
– JW Marriott Hotels & Resorts"
advertising-slogans,hotel-slogans,,"A Country Hotel At The Williamsburg Winery
– Wedmore Place, Virginia, United States"
advertising-slogans,hotel-slogans,,"See what a difference a stay makes
– Embassy Suites Hotels , New York"
advertising-slogans,hotel-slogans,,"The Best Value Under the Sun
Days Inn. There you go.
– Days Inn Hotels , Washington DC"
advertising-slogans,hotel-slogans,,"Maui’s Hawaiian Hotel, Hawai’I’s Best Value
– Ka’anapali Beach Hotel"
advertising-slogans,hotel-slogans,,"Great Location, Service and Stay.
– Kensington Court Ann Arbor"
advertising-slogans,hotel-slogans,,"Ramada. A very good place to be.
– Ramada hotel brand (in the USA and Canada)"
advertising-slogans,hotel-slogans,,"Live like a King.
– Drawbridge Inn Hotel, Ft. Mitchell, Kentucky"
advertising-slogans,hotel-slogans,,"At The Heart Of Lowcountry Style, Culture and Cuisine
– Woodlands Resort & Inn"
advertising-slogans,hotel-slogans,,"“The Extras Aren’t Extra.”
– Drury Hotels"
advertising-slogans,hotel-slogans,,"The Belhurst Awaits You
– Belhurst Castle, Finger Lakes, New York, United States"
advertising-slogans,hotel-slogans,,"You Are Invited
– The Inn at Red Hills, Willamette Valley, Oregon, United States"
advertising-slogans,hotel-slogans,,"“Take Me To The Hilton”
– Hilton Hotel New York"
advertising-slogans,hotel-slogans,,"Find your Freedom!
– Jay Peak Vermont"
advertising-slogans,hotel-slogans,,"Get Further Away.
– Jackson Hole Resort"
advertising-slogans,hotel-slogans,,"The nation’s innkeeper.
Relax, it’s Holiday Inn
– Holiday Inn"
advertising-slogans,hotel-slogans,,"Come Sail Away.
– Hotel Annapolis, Maryland"
advertising-slogans,hotel-slogans,,"Unpretentiously luxurious
– Monte Carlo Resort & Casino"
advertising-slogans,hotel-slogans,,"Danvilleâ€™s Best Address
– Stratford Inn Hotel, Danville, Virginia"
advertising-slogans,hotel-slogans,,"Where Hospitality Meets the Bay
– Chesapeake Beach Hotel & Spa, Maryland"
senior-class-slogans,,,"Senior Class Slogans are used to celebrate that special moment when you finally graduate. Afters years and years of school and homework, graduation is finally near, so give a big cheer! Here is a list of graduation slogans to celebrate this special time in your life."
senior-class-slogans,,,"Party hard, Rock and Roll, we’re the class you can’t control"
senior-class-slogans,,,Seniors: It’s always better on top!
senior-class-slogans,,,Kiss our clASSES Goodbye
senior-class-slogans,,,"Don’t cry because its over, smile because it happened"
senior-class-slogans,,,"Freshmen bow to us, Sophomores fear us, Juniors want to be us!"
senior-class-slogans,,,"Ashes to Ashes, Dust to Dust, life is short so party we must."
senior-class-slogans,,,"Our lives are before us, the past is behind us, but our memories are forever with us."
senior-class-slogans,,,"No more pencils, no more books, no more teachers’ dirty looks."
senior-class-slogans,,,"Celebrate the present, Remember the past"
senior-class-slogans,,,A picture is worth 2010 words
senior-class-slogans,,,Too Legit to Quit
senior-class-slogans,,,"I came, I went to class, I kicked ass!"
senior-class-slogans,,,I Graduated : Don’t look so surprised
senior-class-slogans,,,"The pen is in your hand, the rest is still unwritten"
senior-class-slogans,,,The few…the proud…the seniors
senior-class-slogans,,,We came.We conquered. We survived!
senior-class-slogans,,,"These memories of our past, sure were a blast"
senior-class-slogans,,,So many faces going so many places
senior-class-slogans,,,"Roses are red, Violets are blue, we did our time and now we are through"
senior-class-slogans,,,Memories have passed but memories do last
senior-class-slogans,,,"Senior Class Slogans are used to celebrate that special moment when you finally graduate. Afters years and years of school and homework, graduation is finally near, so give a big cheer! Here is a list of graduation slogans to celebrate this special time in your life."
senior-class-slogans,,,The tassel is worth the hassle (show picture of graduation cap)
senior-class-slogans,,,iGraduated
senior-class-slogans,,,Class of 2010: Proof that our schools don’t completely suck
senior-class-slogans,,,Today is the first day of the rest of our lives. Make it happen.
senior-class-slogans,,,A year we won’t forget
senior-class-slogans,,,Free at last!
senior-class-slogans,,,A vision becoming a reality
senior-class-slogans,,,"Warning: The class of 2010 will self destruct on June 20, 2010"
senior-class-slogans,,,"We are the crew, we paid our dues and now we’re through"
senior-class-slogans,,,A look back before we leap
senior-class-slogans,,,Live each day as if it were your last.
senior-class-slogans,,,A year to remember
senior-class-slogans,,,Journey of a thousand miles begins with one step
senior-class-slogans,,,"Come as you are, leave as you may."
senior-class-slogans,,,"Study hard, scream out loud we’re the class of ’10 that makes you proud"
senior-class-slogans,,,Glad to be a Grad
senior-class-slogans,,,End of an Era
senior-class-slogans,,,Walking to a different Beat
senior-class-slogans,,,If these walls could talk
senior-class-slogans,,,"Rollin out in 2010, we’re never coming back again"
senior-class-slogans,,,"Senior Class Slogans are used to celebrate that special moment when you finally graduate. Afters years and years of school and homework, graduation is finally near, so give a big cheer! Here is a list of graduation slogans to celebrate this special time in your life."
senior-class-slogans,,,"Life, camera, action!"
senior-class-slogans,,,Be the change you want to see in the world
senior-class-slogans,,,"We’re ending now, yet barely beginning"
senior-class-slogans,,,Beginning from the End
senior-class-slogans,,,Down the Road together
senior-class-slogans,,,We’ve only just begun!
senior-class-slogans,,,A class worth waiting for
senior-class-slogans,,,Being Great is our Fate!
senior-class-slogans,,,Bein’ us and having fun. The class of 2010 is number 1.
senior-class-slogans,,,We will move the world
senior-class-slogans,,,Stepping into the future
senior-class-slogans,,,Charging into the Future
senior-class-slogans,,,Every now and then comes a class like 2010
senior-class-slogans,,,Starting the Dream
senior-class-slogans,,,Infinite possibilities
senior-class-slogans,,,Dare to Soar
senior-class-slogans,,,A year like no other
senior-class-slogans,,,It’s the little things that count
senior-class-slogans,,,The road will never be the same
senior-class-slogans,,,Take a second glance
senior-class-slogans,,,"Senior Class Slogans are used to celebrate that special moment when you finally graduate. Afters years and years of school and homework, graduation is finally near, so give a big cheer! Here is a list of graduation slogans to celebrate this special time in your life."
senior-class-slogans,,,Inside Edition
senior-class-slogans,,,Finally the end: Seniors 10
senior-class-slogans,,,Every now and Then
senior-class-slogans,,,Class of 2010: A League of our own.
senior-class-slogans,,,"Class of 2010, spread your wings"
senior-class-slogans,,,Appreciate we dominate
senior-class-slogans,,,Time stands still
senior-class-slogans,,,A galaxy of stars!
sayings,life-sayings,life-sayings-for-tattoos,Here are some great sayings that can be used for a tattoo. Vote for the ones you like best!
sayings,life-sayings,life-sayings-for-tattoos,"Love the life you live, Live the Life you love."
sayings,life-sayings,life-sayings-for-tattoos,Life goes on
sayings,life-sayings,life-sayings-for-tattoos,"The Past is History, The Future a Mystery."
sayings,life-sayings,life-sayings-for-tattoos,Living Life to the Fullest
sayings,life-sayings,life-sayings-for-tattoos,Life is what you make of it.
sayings,life-sayings,life-sayings-for-tattoos,You are what you think.
sayings,life-sayings,life-sayings-for-tattoos,All Heart All the Time.
sayings,life-sayings,life-sayings-for-tattoos,"Forget what hurt you, but never forget what it taught you."
sayings,life-sayings,life-sayings-for-tattoos,Life is too short not to dream big.
sayings,life-sayings,life-sayings-for-tattoos,"Dream it, Do it."
sayings,life-sayings,life-sayings-for-tattoos,Life is what you make of it.
sayings,life-sayings,life-sayings-for-tattoos,Big dreams in the making.
